Current_status,Count
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 AUG 2017 00:08  Y  29620/2018  13 SEP 2018 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 DEC 2017 00:12  Y  23003/2017  12 DEC 2017 00:12  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 DEC 2017 00:12  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 JAN 2018 00:01  Y  N.A.  N.A.  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 NOV 2017 00:11  Y  22753/2017  24 NOV 2017 00:11  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 NOV 2017 00:11  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",5
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 SEP 2017 00:09  Y  24432/2018  25 MAR 2018 00:03  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  01 SEP 2017 00:09  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  02 AUG 2017 00:08  Y  21484/2017  07 SEP 2017 00:09  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  02 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  02 JAN 2018 00:01  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  02 NOV 2017 00:11  Y  N.A.  N.A.  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 AUG 2017 00:08  Y  21484/2017  07 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 JAN 2018 00:01  Y  23481/2018  18 JAN 2018 00:01  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  03 OCT 2017 00:10  Y  N.A.  N.A.  Y ",4
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 AUG 2017 00:08  Y  21484/2017  07 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 DEC 2017 00:12  R  N.A.  N.A.  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 DEC 2017 00:12  Y  23003/2017  12 DEC 2017 00:12  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 DEC 2017 00:12  Y  23043/2017  15 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 DEC 2017 00:12  Y  23143/2017  22 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 DEC 2017 00:12  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 JAN 2018 00:01  Y  23414/2018  12 JAN 2018 00:01  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 JUL 2017 00:07  Y  21243/2017  28 AUG 2017 00:08  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 OCT 2017 00:10  Y  22260/2017  24 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 OCT 2017 00:10  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  04 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",6
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 AUG 2017 00:08  Y  21484/2017  07 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 AUG 2017 00:08  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 DEC 2017 00:12  Y  23003/2017  12 DEC 2017 00:12  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 DEC 2017 00:12  Y  24432/2018  25 MAR 2018 00:03  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 JAN 2018 00:01  Y  23414/2018  12 JAN 2018 00:01  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 JAN 2018 00:01  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 OCT 2017 00:10  Y  22260/2017  24 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 OCT 2017 00:10  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  05 SEP 2017 00:09  Y  N.A.  N.A.  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 DEC 2017 00:12  Y  23043/2017  15 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 DEC 2017 00:12  Y  23143/2017  22 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 DEC 2017 00:12  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 JAN 2018 00:01  Y  23643/2018  31 JAN 2018 00:01  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 NOV 2017 00:11  Y  23643/2018  31 JAN 2018 00:01  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 OCT 2017 00:10  Y  22260/2017  24 OCT 2017 00:10  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 OCT 2017 00:10  Y  24432/2018  25 MAR 2018 00:03  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",5
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  06 SEP 2017 00:09  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 DEC 2017 00:12  Y  23003/2017  12 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 DEC 2017 00:12  Y  23043/2017  15 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 DEC 2017 00:12  Y  23143/2017  22 DEC 2017 00:12  Y ",5
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 DEC 2017 00:12  Y  N.A.  N.A.  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 JUL 2017 00:07  Y  21243/2017  28 AUG 2017 00:08  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 NOV 2017 00:11  Y  22753/2017  24 NOV 2017 00:11  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 OCT 2017 00:10  Y  N.A.  N.A.  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  07 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  08 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  08 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  08 DEC 2017 00:12  Y  23237/2017  29 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  08 DEC 2017 00:12  Y  N.A.  N.A.  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  08 NOV 2017 00:11  Y  22753/2017  24 NOV 2017 00:11  Y ",4
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  08 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",4
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  08 SEP 2017 00:09  Y  24432/2018  25 MAR 2018 00:03  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  09 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y 
Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  09 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  09 NOV 2017 00:11  Y  22753/2017  24 NOV 2017 00:11  Y ",4
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  09 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  09 OCT 2017 00:10  Y  N.A.  N.A.  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 AUG 2017 00:08  Y  N.A.  N.A.  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 NOV 2017 00:11  Y  22753/2017  24 NOV 2017 00:11  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 NOV 2017 00:11  Y  22850/2017  30 NOV 2017 00:11  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  10 OCT 2017 00:10  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  11 AUG 2017 00:08  Y  21593/2017  12 SEP 2017 00:09  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  11 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  11 DEC 2017 00:12  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  11 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  11 SEP 2017 00:09  Y  N.A.  N.A.  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  12 JUL 2017 00:07  Y  21243/2017  28 AUG 2017 00:08  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  12 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  12 OCT 2017 00:10  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  12 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  12 SEP 2017 00:09  Y  22032/2017  06 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 DEC 2017 00:12  Y  23143/2017  22 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 DEC 2017 00:12  Y  23237/2017  29 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 DEC 2017 00:12  Y  23835/2018  15 FEB 2018 00:02  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 DEC 2017 00:12  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 NOV 2017 00:11  Y  22753/2017  24 NOV 2017 00:11  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 NOV 2017 00:11  Y  24432/2018  25 MAR 2018 00:03  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 OCT 2017 00:10  Y  22374/2017  31 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 OCT 2017 00:10  Y  22528/2017  10 NOV 2017 00:11  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 SEP 2017 00:09  Y  22032/2017  06 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  13 SEP 2017 00:09  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 AUG 2017 00:08  Y  21652/2017  14 SEP 2017 00:09  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 AUG 2017 00:08  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 DEC 2017 00:12  Y  23143/2017  22 DEC 2017 00:12  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 DEC 2017 00:12  Y  N.A.  N.A.  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 NOV 2017 00:11  Y  24432/2018  25 MAR 2018 00:03  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 SEP 2017 00:09  Y  21843/2017  21 SEP 2017 00:09  Y ",6
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 SEP 2017 00:09  Y  21907/2017  26 SEP 2017 00:09  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 SEP 2017 00:09  Y  22032/2017  06 OCT 2017 00:10  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 SEP 2017 00:09  Y  24432/2018  25 MAR 2018 00:03  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  14 SEP 2017 00:09  Y  N.A.  N.A.  Y ",3
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  15 DEC 2017 00:12  Y  23143/2017  22 DEC 2017 00:12  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  15 DEC 2017 00:12  Y  24082/2018  28 FEB 2018 00:02  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  15 DEC 2017 00:12  Y  N.A.  N.A.  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  15 NOV 2017 00:11  Y  22753/2017  24 NOV 2017 00:11  Y ",1
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  15 SEP 2017 00:09  Y  22032/2017  06 OCT 2017 00:10  Y ",2
"Current Que LEO Date EP Copy Print Status DBK Scroll No Scroll Date EGM Integration Status
HIST  15 SEP 2017 00:09  Y  N.A.  N.A.  Y ",2
